City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
488,imbituba,-28.24,-48.6703,289.9,81,72,3.2,BR,1726517752
489,mont-dore,-22.2833,166.5833,292.56,56,35,4.96,NC,1726517753
490,escuinapa,22.85,-105.8,305.06,50,7,4.26,MX,1726517754
491,bonthe,7.5264,-12.505,298.41,87,34,2.21,SL,1726517757
492,sirsilla,18.3833,78.8333,296.52,85,83,3.53,IN,1726517758
493,mogadishu,2.0371,45.3438,298.36,90,47,7.4,SO,1726517759
494,antonio enes,-16.2325,39.9086,297.77,82,0,5.35,MZ,1726517761
495,porto murtinho,-21.6989,-57.8825,304.35,22,0,4.0,BR,1726517762
496,atar,20.5169,-13.0499,308.57,35,98,7.32,MR,1726517763
497,gashua,12.871,11.0482,304.59,49,100,3.51,NG,1726517764
498,kangding,30.0513,101.9603,288.4,98,98,1.33,CN,1726517765
499,ternate,0.8,127.4,299.8,86,100,4.89,ID,1726517766
500,nasiriyah,31.0521,46.261,307.83,18,0,1.21,IQ,1726517767
501,igrim,63.1906,64.4162,287.12,92,97,2.29,RU,1726517768
502,bhag,29.0415,67.8239,307.54,36,0,2.66,PK,1726517770
503,asmara,15.3333,38.9333,290.2,72,100,0.94,ER,1726517771
504,cabo san lucas,22.8909,-109.9124,303.32,61,0,5.14,MX,1726517382
505,kupang,-10.1667,123.5833,299.47,83,7,2.06,ID,1726517773
506,goundam,16.4145,-3.6708,306.46,44,51,3.83,ML,1726517774
507,thohoyandou,-22.9456,30.485,297.69,44,2,2.57,ZA,1726517775
508,punaauia,-17.6333,-149.6,299.95,78,75,8.94,PF,1726517776
509,happy valley-goose bay,53.3168,-60.3315,294.32,68,75,5.14,CA,1726517777
510,kolonia,50.9333,6.95,291.4,80,75,3.09,DE,1726517778
511,kavaratti,10.5669,72.642,300.95,79,10,6.61,IN,1726517774
512,plymstock,50.36,-4.0905,288.56,87,58,3.04,GB,1726517780
513,karacabey,40.2152,28.4038,291.34,78,1,0.31,TR,1726517781
514,rudnichnyy,59.617,52.4703,286.5,84,96,1.93,RU,1726517782
515,jaisalmer,26.9147,70.9181,301.41,63,0,7.99,IN,1726517784
516,zambezi,-13.5432,23.1047,296.74,17,0,1.93,ZM,1726517785
517,ginir,7.1333,40.7,291.77,56,41,4.98,ET,1726517786
518,kerikeri,-35.2268,173.9474,283.66,91,91,0.45,NZ,1726517787
519,altus,34.6381,-99.334,308.19,41,0,3.6,US,1726517788
520,tamanrasset,22.785,5.5228,299.1,53,40,2.06,DZ,1726517635
521,alesund,62.4723,6.1549,286.11,83,75,5.14,NO,1726517791
522,plesetsk,62.708,40.2916,284.16,73,7,1.21,RU,1726517792
523,pohrebyshche,49.4864,29.2636,293.17,33,100,5.87,UA,1726517793
524,tchibanga,-2.85,11.0333,295.73,88,56,1.78,GA,1726517794
525,la'ie,21.6477,-157.9253,302.81,81,55,3.13,US,1726517655
